"database_id","scientificName","family","subfamily","genus","subgenus","subspecies","species","specificEpithet","infraspecificEpithet","acceptedNameUsage","taxonRank","scientificNameAuthorship","identificationQualifier","higherClassification","identificationReferences","typeStatus","previousIdentifications","verbatimIdentification","identifiedBy","dateIdentified","decimalLatitude","decimalLongitude","stateProvince","continent","locality","island","county","municipality","level0Gid","level0Name","level1Gid","level1Name","license","issue","eventDate","eventTime","day","month","year","basisOfRecord","country","type","occurrenceStatus","recordNumber","recordedBy","eventID","Location","samplingProtocol","samplingEffort","individualCount","organismQuantity","coordinatePrecision","coordinateUncertaintyInMeters","spatiallyValid","catalogNumber","gbifID","datasetID","institutionCode","datasetName","otherCatalogNumbers","occurrenceID","taxonKey","coreid","recordId","collectionID","verbatimScientificName","verbatimEventDate","associatedTaxa","associatedOrganisms","fieldNotes","sex","rights","rightsHolder","accessRights","associatedReferences","bibliographicCitation","references","informationWithheld","isDuplicateOf","hasCoordinate","hasGeospatialIssues","assertions","occurrenceYear","id","duplicateStatus","associatedOccurrences","locationRemarks","dataSource","verbatim_scientificName",".scientificName_empty",".basisOfRecords_notStandard","countryCO","country_suggested","countryCode",".coordinates_country_inconsistent"
"Dorey_data_11650545","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,"Anza Borrego State Park, Mine Wash",NA,"SanDiego",NA,NA,NA,NA,NA,NA,NA,"1995/03/31 00:00:00",NA,31,3,1995,"PreservedSpecimen","United states",NA,NA,NA,"J. Cane",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL605973",NA,NA,"USDA-ARS",NA,NA,"658712621",NA,"683d155e-3481-452e-99a2-26e512a52314",NA,NA,"Centris rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_11920255","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,"R. Andrus 2000",NA,NA,NA,"California",NA,"Kelso Dunes, S central side",NA,"SanBernardino",NA,NA,NA,NA,NA,NA,NA,"2000/05/01 00:00:00",NA,1,5,2000,"PreservedSpecimen","United states",NA,NA,NA,"R. Andrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL349351",NA,NA,"USDA-ARS",NA,NA,"658712453",NA,"cc878d41-8b55-42f2-b418-05df84a96a16",NA,NA,"Centris rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_12076663","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,"O.J. Messinger 1999",NA,NA,NA,"Nevada",NA,"withheld",NA,"Clark",NA,NA,NA,NA,NA,NA,NA,"1998/01/01 00:00:00",NA,1,1,1998,"PreservedSpecimen","United states",NA,NA,NA,"T.L. Griswold",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL294609",NA,NA,"USDA-ARS",NA,NA,"658712051",NA,"dc492b9e-fb80-4fb5-b56f-327c84ad00e8",NA,NA,"Centris rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_12122943","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,"T.L. Griswold 1995",NA,NA,NA,"California",NA,"withheld",NA,"SanBernardino",NA,NA,NA,NA,NA,NA,NA,"1994/01/01 00:00:00",NA,1,1,1994,"PreservedSpecimen","United states",NA,NA,NA,"T.L. Griswold",NA,NA,NA,NA,NA,NA,NA,NA,NA,"104936",NA,NA,"USDA-ARS",NA,NA,"658711863",NA,"a98a3b96-700a-4873-bf40-554fae8ca8cb",NA,NA,"Centris rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_12164404","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,"O.J. Messinger 1999",NA,NA,NA,"Nevada",NA,"withheld",NA,"Clark",NA,NA,NA,NA,NA,NA,NA,"1997/01/01 00:00:00",NA,1,1,1997,"PreservedSpecimen","United states",NA,NA,NA,"F.D. & J.H. Parker, V.J. Tepedino",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL211008",NA,NA,"USDA-ARS",NA,NA,"658712236",NA,"1d79e557-763a-4e63-ae14-2c4d13c9948e",NA,NA,"Centris rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_12214902","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,"Kingman, 7 mi SE",NA,"Mohave",NA,NA,NA,NA,NA,NA,NA,"1972/04/28 00:00:00",NA,28,4,1972,"PreservedSpecimen","United states",NA,NA,NA,"F.D. Parker, P.F. Torchio, G.E. Bohart",NA,NA,NA,NA,NA,NA,NA,NA,NA,"103351",NA,NA,"USDA-ARS",NA,NA,"658712282",NA,"c049dc8c-8632-4837-86ef-2a71f3887468",NA,NA,"Centris rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_9649119","Agapostemon tyleri Cockerell, 1917","Halictidae","Halictinae","Agapostemon",NA,NA,"Agapostemon tyleri","tyleri",NA,NA,NA,"Cockerell, 1917",NA,NA,NA,NA,NA,NA,"Roberts, R","1967",NA,NA,"San Luis Potosi","Neotropical","San Luis Potosi, 29 mi SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1962/07/25 00:00:00",NA,25,7,1962,"PreservedSpecimen","Mexico",NA,NA,NA,"Univ. of Kans. Mex. Exped.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"438600",NA,NA,"KU","Snow Entomological Museum Collection",NA,"380048a0-1ed6-11e3-bfac-90b11c41863e",NA,"878c122b-61de-4a72-b486-0a06a79ce9a3",NA,NA,"Agapostemon (Agapostemon) tyleri",NA,NA,NA,NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_halictidae",NA,TRUE,TRUE,NA,"Mexico","MX",TRUE
"Dorey_data_13918494","Perdita octomaculata (Say, 1824)","Andrenidae","Panurginae","Perdita",NA,NA,"Perdita octomaculata","octomaculata",NA,NA,NA,"(Say, 1824)",NA,NA,NA,NA,NA,NA,"Danforth, Bryan",NA,NA,NA,"Kansas",NA,"unspecified, Douglas County",NA,"Douglas",NA,NA,NA,NA,NA,NA,NA,"1951/10/01 00:00:00",NA,1,10,1951,"PreservedSpecimen","United states",NA,NA,NA,"Michener & Beamer",NA,NA,NA,NA,NA,NA,NA,NA,NA,"224412",NA,NA,"KU",NA,NA,"255ff44d-1ed6-11e3-bfac-90b11c41863e",NA,NA,"urn:uuid:e747dbf8-4096-474d-b099-1e45e06ddeee","c45886f1-3524-42f4-a113-4e4e193505a8","Perdita (Perdita) octomaculata terminata","1951-10-1","Aster",NA,NA,"unknown","http://creativecommons.org/publicdomain/zero/1.0/","The University of Kansas Natural History Museum",NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=15589719",NA,NA,NA,NA,NA,NA,"15589719","Duplicate",NA,NA,"SCAN_Andrenidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_10234915","Perdita octomaculata (Say, 1824)","Andrenidae","Panurginae","Perdita",NA,NA,"Perdita octomaculata","octomaculata",NA,NA,NA,"(Say, 1824)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indiana",NA,"Hovey Lake",NA,"Posey","Point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,"PreservedSpecimen","United states",NA,NA,NA,"Montgom_BE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU",NA,NA,"59097334-99c6-4219-a9c1-88bba8d86860",NA,"820b4e36-d634-4286-861f-f5425650ce71","urn:uuid:59097334-99c6-4219-a9c1-88bba8d86860","61cff121-261e-4eff-a186-a377f91aa027","Perdita octomaculata","10/3/1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_andrenidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_13859632","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,"USDA/USU Staff",NA,NA,NA,"Arizona",NA,"Topock",NA,"Mohave",NA,NA,NA,NA,NA,NA,NA,"1972/04/08 00:00:00",NA,8,4,1972,"PreservedSpecimen","United states",NA,NA,NA,"B. Apperson",NA,NA,NA,NA,1,NA,NA,NA,NA,"HYM 103450",NA,NA,"MNA",NA,NA,"7a66e20b-9670-456e-913d-e1f766831ddd",NA,NA,"urn:uuid:677a4a7c-b12a-4757-8110-4e6cb35dece9","48b700e0-fcdb-4196-b642-70fd7b8a71ef","Centris rhodopus","1972-04-08",NA,NA,NA,"Female","http://creativecommons.org/licenses/by-nc/4.0/","MNA",NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57129626",NA,NA,NA,NA,NA,NA,"57129626","Duplicate",NA,NA,"SCAN_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_1520542","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,"SPECIES","Cockerell, 1897",NA,NA,NA,NA,NA,NA,"J.S. Ascher 2007",NA,NA,NA,"Arizona",NA,"9 mi E",NA,"LaPaz",NA,NA,NA,NA,NA,"CC_BY_4_0","INSTITUTION_MATCH_NONE","1988/06/10 00:00:00",NA,10,6,1988,"PRESERVED_SPECIMEN",NA,NA,"PRESENT",NA,"R.T. Griswold",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL688968",658711770,NA,"USDA-ARS",NA,NA,"658711770",1342875,NA,NA,NA,"Centris rhodopus Cockerell, 1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,"Kept duplicate",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_13778839","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,"1 mi E of Douglas",NA,"Cochise Co.",NA,NA,NA,NA,NA,NA,NA,"1985/08/27 00:00:00",NA,27,8,1985,"PreservedSpecimen","United states",NA,NA,NA,"J. G. Rozen & Barbara L. Rozen",NA,NA,"Netting",NA,1,NA,NA,NA,NA,"AMNH_BEE 00036907",NA,NA,"AMNH",NA,NA,"83a9544e-d8e1-11e2-99a2-0026552be7ea",NA,NA,"urn:uuid:b303afd8-30e8-4009-8e1e-a2bb627681ba","66acc5ec-da39-42c7-811a-824c25f96161","Centris rhodopus Cockerell, 1897","8/27/1985",NA,NA,NA,"Male","http://creativecommons.org/licenses/by-nc/4.0/","AMNH","Not-for-profit use only",NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49409934",NA,NA,NA,NA,NA,NA,"49409934","Duplicate",NA,NA,"SCAN_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_13837377","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,"Southwestern Research Station (SWRS), 5 mi W of Portal",NA,"Cochise Co.",NA,NA,NA,NA,NA,NA,NA,"1956/08/01 00:00:00",NA,1,8,1956,"PreservedSpecimen","United states",NA,NA,NA,"E. Ordway",NA,NA,"Netting",NA,1,NA,NA,NA,NA,"AMNH_BEE 00212001",NA,NA,"AMNH",NA,NA,"869d6cee-d8e1-11e2-99a2-0026552be7ea",NA,NA,"urn:uuid:2ecce196-800f-4c8e-ac81-4b7de2886f80","66acc5ec-da39-42c7-811a-824c25f96161","Centris rhodopus Cockerell, 1897","8/1/1956",NA,NA,NA,"Female","http://creativecommons.org/licenses/by-nc/4.0/","AMNH","Not-for-profit use only",NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49669596",NA,NA,NA,NA,NA,NA,"49669596","Duplicate",NA,NA,"SCAN_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_15431713","Agapostemon tyleri Cockerell, 1917","Halictidae","Halictinae","Agapostemon",NA,NA,"Agapostemon tyleri","tyleri",NA,NA,NA,"Cockerell, 1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Mexico",NA,"Rodeo",NA,"Hidalgo Co.",NA,NA,NA,NA,NA,NA,NA,"1990/08/13 00:00:00",NA,13,8,1990,"PreservedSpecimen","United states",NA,NA,NA,"J. G. Rozen & Jessica Krieger",NA,NA,"Netting",NA,1,NA,NA,NA,NA,"AMNH_BEE 00038609",NA,NA,"AMNH",NA,NA,"83b3d734-d8e1-11e2-99a2-0026552be7ea",NA,NA,"urn:uuid:971cf6a4-22d3-4b07-8c43-f025f1734a8e","66acc5ec-da39-42c7-811a-824c25f96161","Agapostemon tyleri Cockerell, 1917","8/13/1990",NA,NA,NA,"Male","http://creativecommons.org/licenses/by-nc/4.0/","AMNH","Not-for-profit use only",NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49577103",NA,NA,NA,NA,NA,NA,"49577103","Duplicate",NA,NA,"SCAN_Halictidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
